,phrase,skill
1610,irex yerevan,0
575,training,0
375,testing,0
1404,yerevan-brussels-boston,0
1929,oil,0
1014,chat/dating/games community,0
2148,graphic designer start date/ time,0
2231,voip technologies specialist location,0
196,photoshop,1
436,administrator,1
1192,pocket,0
129,notified,0
1453,apache/tomcat,1
2502,web application interface,1
537,hw/sw,1
1636,agricultural academy,0
939,client/server Internet systems,0
709,related/,0
295,lef/def gdsii,0
1243,equipment non-acceptance act,0
1160,provide,0
149,opportunities,0
2405,understand,0
369,DFY,1
2198,senior software developer,0
1838,mathematics,0
617,software engineer location,0
1874,rtti,0
2264,systems administrator start date/ time,0
2310,audit manager term,0
149,zentex.am,0
798,c++ lead developer announcement code,0
1799,dhcp,1
390,corel,1
2273,sayat nova avenue yerevan 0001,0
991,developers announcement code,0
258,discoverer,0
1103,developers team leader term,0
610,scientists location,0
711,web developers,0
814,approaches,0
2470,irex 29,0
907,microsoft sql server,1
283,dfy,0
665,cdrw,0
2140,coca-cola hbc armenia title,0
58,Java,1
1948,vacancies announcements,0
861,LAN equipment,0
66,ngos,1
1030,arwest communications narrowband point-to-point,0
715,sada systems,0
618,aspx,1
336,win 2003,1
1049,development initiatives,0
1752,xml public specifications,0
2408,Sep-06,0
1798,microsoft iis,1
215,gof,0
2,economical background,0
873,databases,1
550,UNIX platforms,1
341,wan,0
1417,koan technologies armenian branch title,0
1932,cement,0
2458,Oct-06,0
2068,evaluation team,0
1023,designer location,0
2165,mscrm,0
82,PCs,1
2022,development llc,0
92,soap,1
225,xsl,1
868,HTML/ PHP/ MySQL technologies,1
2121,win2k,1
382,macromedia flash,1
2248,mechanical manufacturing,0
1567,booz allen hamilton,0
1977,system administrator,0
650,solid,0
75,Unix Systems/ Network Administration,1
558,enterprise applications,0
984,#NAME?,0
184,Fluency,0
935,user groups,0
1854,oracle 9,1
333,lan,1
781,ASP,1
1601,position,0
966,economic regulation program title,0
136,Abovyan Street Rooms,0
2294,msde,0
2069,component,0
508,kb,0
2332,electronics engineering,0
5,windows 2000,1
2453,technical support specialist,0
2188,water cadastre,0
682,ra,0
593,manage,0
1808,acceleration,0
1471,system administrator/ software engineer term,0
2095,safari,0
859,MS Office software,1
1568,grant thornton amyot title,0
322,ado remuneration/ salary,0
409,PHP/My SQL,1
1148,html/xhtml,1
1413,production supervisor,0
2254,strong artistic,0
542,code,0
285,Means,1
112,master's degree,0
456,duties,0
856,ms power point,1
982,ORACLE,1
1226,ef yerevan,0
2269,help/,0
148,related,0
402,reconstruction,0
2171,srnetdev start date/ time,0
1246,simon vratsyan street,0
